Action Name	Action Value	Ad Format	Ad ID	Ad Name	Advertiser ID	Advertiser Name	Agency ID	Agency Name	Campaign End Date	Campaign ID	Campaign Name	Campaign Start Date	Clickthrough URL	Package End Date	Package Name	Package Name / Placement ID	Package Start Date	Package Start Date - Actual	Placement End Date	Placement ID	Placement Name	Placement Start Date	Placement Start Date - Actual	Placement Type	ROI Action	Section Name	Site ID	Site Name	Unit Cost	Unit Size	Date	* Clicks	Interactions	Total Media Cost	* Served Impressions	Total Actions
N/A	0	HTML5 Single Expandable	33802010	National|Showroom||Rich|300X250	50455	Subzero/Wolf	376	The Richards Group	1/1/2017 0:59	617957	2016 Sub-Zero and Wolf Consumer Campaign	1/25/2016 1:00	http://www.subzero-wolf.com/regpromo.aspx?promoid=Q6UJ9A5TULFW&returnURL=http://www.subzero-wolf.com/locator/?utm_source=undertone%26utm_medium=richmedia_network%26utm_content=showroom%26utm_campaign=consumerawareness_showroom_2016&utm_term=[%tp_AdID%]	1/1/2017 0:59	Rich Media In-Page Banner Package|US|||||	Rich Media In-Page Banner Package|US|||||	1/25/2016 1:00	2/9/2016 16:15	1/1/2017 0:59	16132803	Rich Media In-Page Banners|US|300x250|Rich Media In-Page Banners|Rich Media||	1/25/2016 1:00	2/9/2016 16:15	In-Banner		Undertone Networks - Undertone:Rich Media In-Page Banners:Rich Media:US:300x250	3843	Undertone Inc. US	4	300x250	2/9/2016	7	16	89.172	22293	0
N/A	0	HTML5 Single Expandable	33802010	National|Showroom||Rich|300X250	50455	Subzero/Wolf	376	The Richards Group	1/1/2017 0:59	617957	2016 Sub-Zero and Wolf Consumer Campaign	1/25/2016 1:00	http://www.subzero-wolf.com/regpromo.aspx?promoid=Q6UJ9A5TULFW&returnURL=http://www.subzero-wolf.com/locator/?utm_source=undertone%26utm_medium=richmedia_network%26utm_content=showroom%26utm_campaign=consumerawareness_showroom_2016&utm_term=[%tp_AdID%]	1/1/2017 0:59	Rich Media In-Page Banner Package|US|||||	Rich Media In-Page Banner Package|US|||||	1/25/2016 1:00	2/9/2016 16:15	1/1/2017 0:59	16132803	Rich Media In-Page Banners|US|300x250|Rich Media In-Page Banners|Rich Media||	1/25/2016 1:00	2/9/2016 16:15	In-Banner		Undertone Networks - Undertone:Rich Media In-Page Banners:Rich Media:US:300x250	3843	Undertone Inc. US	4	300x250	2/10/2016	9	14	111.164	27791	0
N/A	0	HTML5 Single Expandable	33802010	National|Showroom||Rich|300X250	50455	Subzero/Wolf	376	The Richards Group	1/1/2017 0:59	617957	2016 Sub-Zero and Wolf Consumer Campaign	1/25/2016 1:00	http://www.subzero-wolf.com/regpromo.aspx?promoid=Q6UJ9A5TULFW&returnURL=http://www.subzero-wolf.com/locator/?utm_source=undertone%26utm_medium=richmedia_network%26utm_content=showroom%26utm_campaign=consumerawareness_showroom_2016&utm_term=[%tp_AdID%]	1/1/2017 0:59	Rich Media In-Page Banner Package|US|||||	Rich Media In-Page Banner Package|US|||||	1/25/2016 1:00	2/9/2016 16:15	1/1/2017 0:59	16132803	Rich Media In-Page Banners|US|300x250|Rich Media In-Page Banners|Rich Media||	1/25/2016 1:00	2/9/2016 16:15	In-Banner		Undertone Networks - Undertone:Rich Media In-Page Banners:Rich Media:US:300x250	3843	Undertone Inc. US	4	300x250	2/11/2016	9	13	76.932	19233	0
N/A	0	HTML5 Single Expandable	33802010	National|Showroom||Rich|300X250	50455	Subzero/Wolf	376	The Richards Group	1/1/2017 0:59	617957	2016 Sub-Zero and Wolf Consumer Campaign	1/25/2016 1:00	http://www.subzero-wolf.com/regpromo.aspx?promoid=Q6UJ9A5TULFW&returnURL=http://www.subzero-wolf.com/locator/?utm_source=undertone%26utm_medium=richmedia_network%26utm_content=showroom%26utm_campaign=consumerawareness_showroom_2016&utm_term=[%tp_AdID%]	1/1/2017 0:59	Rich Media In-Page Banner Package|US|||||	Rich Media In-Page Banner Package|US|||||	1/25/2016 1:00	2/9/2016 16:15	1/1/2017 0:59	16132803	Rich Media In-Page Banners|US|300x250|Rich Media In-Page Banners|Rich Media||	1/25/2016 1:00	2/9/2016 16:15	In-Banner		Undertone Networks - Undertone:Rich Media In-Page Banners:Rich Media:US:300x250	3843	Undertone Inc. US	4	300x250	2/12/2016	3	9	75.456	18864	0
N/A	0	HTML5 Single Expandable	33802010	National|Showroom||Rich|300X250	50455	Subzero/Wolf	376	The Richards Group	1/1/2017 0:59	617957	2016 Sub-Zero and Wolf Consumer Campaign	1/25/2016 1:00	http://www.subzero-wolf.com/regpromo.aspx?promoid=Q6UJ9A5TULFW&returnURL=http://www.subzero-wolf.com/locator/?utm_source=undertone%26utm_medium=richmedia_network%26utm_content=showroom%26utm_campaign=consumerawareness_showroom_2016&utm_term=[%tp_AdID%]	1/1/2017 0:59	Rich Media In-Page Banner Package|US|||||	Rich Media In-Page Banner Package|US|||||	1/25/2016 1:00	2/9/2016 16:15	1/1/2017 0:59	16132803	Rich Media In-Page Banners|US|300x250|Rich Media In-Page Banners|Rich Media||	1/25/2016 1:00	2/9/2016 16:15	In-Banner		Undertone Networks - Undertone:Rich Media In-Page Banners:Rich Media:US:300x250	3843	Undertone Inc. US	4	300x250	2/13/2016	4	6	45.46	11365	0
N/A	0	HTML5 Single Expandable	33802010	National|Showroom||Rich|300X250	50455	Subzero/Wolf	376	The Richards Group	1/1/2017 0:59	617957	2016 Sub-Zero and Wolf Consumer Campaign	1/25/2016 1:00	http://www.subzero-wolf.com/regpromo.aspx?promoid=Q6UJ9A5TULFW&returnURL=http://www.subzero-wolf.com/locator/?utm_source=undertone%26utm_medium=richmedia_network%26utm_content=showroom%26utm_campaign=consumerawareness_showroom_2016&utm_term=[%tp_AdID%]	1/1/2017 0:59	Rich Media In-Page Banner Package|US|||||	Rich Media In-Page Banner Package|US|||||	1/25/2016 1:00	2/9/2016 16:15	1/1/2017 0:59	16132803	Rich Media In-Page Banners|US|300x250|Rich Media In-Page Banners|Rich Media||	1/25/2016 1:00	2/9/2016 16:15	In-Banner		Undertone Networks - Undertone:Rich Media In-Page Banners:Rich Media:US:300x250	3843	Undertone Inc. US	4	300x250	2/14/2016	3	4	40.584	10146	0
N/A	0	HTML5 Single Expandable	33803672	Blueberries|Wolf||Rich|300X600	50455	Subzero/Wolf	376	The Richards Group	1/1/2017 0:59	617957	2016 Sub-Zero and Wolf Consumer Campaign	1/25/2016 1:00	http://www.subzero-wolf.com/regpromo.aspx?promoid=Q6UJ9A5TUK2N&returnURL=http://www.subzero-wolf.com/wolf/?utm_source=zillow%26utm_medium=richmedia%26utm_content=wolf%26utm_campaign=consumerawareness_wolf_2016&utm_term=[%tp_AdID%]	1/1/2017 0:59	ROZG 2 Web Sale Display Package|US|||||	ROZG 2 Web Sale Display Package|US|||||	2/1/2016 1:00	2/9/2016 18:30	1/1/2017 0:59	16525709	ROZG Rich Media Display|US|300x600|Rich Media Display|Rich Media||	2/1/2016 1:00	2/11/2016 2:15	In-Banner		Zillow - ROZG Rich Media Display|US|300x600|Rich Media Display|Rich Media||	9925	Zillow	10	300x600	2/10/2016	0	0	1.25	125	0
N/A	0	HTML5 Single Expandable	33803672	Blueberries|Wolf||Rich|300X600	50455	Subzero/Wolf	376	The Richards Group	1/1/2017 0:59	617957	2016 Sub-Zero and Wolf Consumer Campaign	1/25/2016 1:00	http://www.subzero-wolf.com/regpromo.aspx?promoid=Q6UJ9A5TUK2N&returnURL=http://www.subzero-wolf.com/wolf/?utm_source=zillow%26utm_medium=richmedia%26utm_content=wolf%26utm_campaign=consumerawareness_wolf_2016&utm_term=[%tp_AdID%]	1/1/2017 0:59	ROZG 2 Web Sale Display Package|US|||||	ROZG 2 Web Sale Display Package|US|||||	2/1/2016 1:00	2/9/2016 18:30	1/1/2017 0:59	16525709	ROZG Rich Media Display|US|300x600|Rich Media Display|Rich Media||	2/1/2016 1:00	2/11/2016 2:15	In-Banner		Zillow - ROZG Rich Media Display|US|300x600|Rich Media Display|Rich Media||	9925	Zillow	10	300x600	2/11/2016	0	0	1.14	114	0
N/A	0	HTML5 Single Expandable	33803672	Blueberries|Wolf||Rich|300X600	50455	Subzero/Wolf	376	The Richards Group	1/1/2017 0:59	617957	2016 Sub-Zero and Wolf Consumer Campaign	1/25/2016 1:00	http://www.subzero-wolf.com/regpromo.aspx?promoid=Q6UJ9A5TUK2N&returnURL=http://www.subzero-wolf.com/wolf/?utm_source=zillow%26utm_medium=richmedia%26utm_content=wolf%26utm_campaign=consumerawareness_wolf_2016&utm_term=[%tp_AdID%]	1/1/2017 0:59	ROZG 2 Web Sale Display Package|US|||||	ROZG 2 Web Sale Display Package|US|||||	2/1/2016 1:00	2/9/2016 18:30	1/1/2017 0:59	16525709	ROZG Rich Media Display|US|300x600|Rich Media Display|Rich Media||	2/1/2016 1:00	2/11/2016 2:15	In-Banner		Zillow - ROZG Rich Media Display|US|300x600|Rich Media Display|Rich Media||	9925	Zillow	10	300x600	2/12/2016	0	0	1.37	137	0
N/A	0	HTML5 Single Expandable	33803672	Blueberries|Wolf||Rich|300X600	50455	Subzero/Wolf	376	The Richards Group	1/1/2017 0:59	617957	2016 Sub-Zero and Wolf Consumer Campaign	1/25/2016 1:00	http://www.subzero-wolf.com/regpromo.aspx?promoid=Q6UJ9A5TUK2N&returnURL=http://www.subzero-wolf.com/wolf/?utm_source=zillow%26utm_medium=richmedia%26utm_content=wolf%26utm_campaign=consumerawareness_wolf_2016&utm_term=[%tp_AdID%]	1/1/2017 0:59	ROZG 2 Web Sale Display Package|US|||||	ROZG 2 Web Sale Display Package|US|||||	2/1/2016 1:00	2/9/2016 18:30	1/1/2017 0:59	16525709	ROZG Rich Media Display|US|300x600|Rich Media Display|Rich Media||	2/1/2016 1:00	2/11/2016 2:15	In-Banner		Zillow - ROZG Rich Media Display|US|300x600|Rich Media Display|Rich Media||	9925	Zillow	10	300x600	2/13/2016	0	0	1.3	130	0
